County,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
Nassau County,0.2278,0.4076,0.4273,0.2724,0.2539
Okaloosa County,0.4238,0.573,0.6503,0.5358,0.5266
Okeechobee County,0.9481,0.9322,0.7617,0.8934,0.9637
Orange County,0.8018,0.3767,0.9332,0.7862,0.7951
Osceola County,0.8244,0.8043,0.9644,0.5399,0.8307
Palm Beach County,0.7779,0.6354,0.8613,0.7222,0.8008
Pasco County,0.6561,0.7811,0.6599,0.5387,0.7041
Pinellas County,0.5546,0.5851,0.6373,0.8568,0.7095
Polk County,0.8078,0.8062,0.8377,0.903,0.8912
Putnam County,0.9838,0.966,0.6599,0.9036,0.9835
St. Johns County,0.1677,0.1925,0.5294,0.104,0.1266
St. Lucie County,0.8136,0.8734,0.8466,0.3812,0.7906
Santa Rosa County,0.3379,0.189,0.5294,0.4353,0.3213
Sarasota County,0.2927,0.413,0.504,0.4566,0.3653
Seminole County,0.4111,0.3051,0.8075,0.2829,0.3996
Sumter County,0.2109,0.3945,0.4445,0.4744,0.3026
Suwannee County,0.7598,0.7518,0.615,0.9243,0.8457
Taylor County,0.6911,0.8132,0.6402,0.8177,0.8062
Union County,0.5081,0.4798,0.6548,0.8696,0.6669
Volusia County,0.5966,0.6914,0.678,0.6863,0.6987
Wakulla County,0.3198,0.0423,0.5616,0.6459,0.3058
Walton County,0.553,0.5208,0.4699,0.7703,0.6287
Washington County,0.8486,0.7665,0.5867,0.6188,0.8043
Appling County,0.8546,0.8578,0.6911,0.9268,0.9122
Atkinson County,0.9026,0.8081,0.8403,0.5199,0.8444
Bacon County,0.7362,0.9755,0.6332,0.8463,0.889
Baker County,0.922,0.4394,0.8584,0.2564,0.7162
Baldwin County,0.9357,0.3363,0.86,0.9908,0.923
Banks County,0.6207,0.3096,0.3961,0.1015,0.3373
Barrow County,0.5956,0.7738,0.7066,0.0799,0.4887
Bartow County,0.6529,0.3964,0.6045,0.1623,0.454
Ben Hill County,0.8918,0.7378,0.8365,0.9535,0.9265
Berrien County,0.8406,0.8406,0.5269,0.1769,0.6748
Bibb County,0.9739,0.8619,0.9399,0.8422,0.9644
Bleckley County,0.686,0.6363,0.686,0.6134,0.7063
Brantley County,0.7763,0.0738,0.2485,0.2733,0.3974
