FID,sky,tree,road,grass,person,earth,wall,fence,building,plant,car,signboard,awning,streetlight,sidewalk,ashcan,water,mountain,van,bicycle,bridge,railing,column,chair,minibike,fountain,sculpture,pier,booth,ceiling,lake,windowpane,skyscraper,lamp,sofa,bulletin board,desk,glass
zzy-222@628-rnc-92k_0_07740,0.373098,0.150833,0.220059,0.2179,0.0,0.0,0.0,0.003455,0.01334,0.004338,0.002161,0.0,0.0,0.000503,0.0,0.0,0.0,0.000239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-rnc-92k_180_07740,0.395518,0.205107,0.213047,0.111748,0.0,0.0,0.0,0.021956,0.012222,0.000715,0.002698,0.0,0.0,0.0,0.0,0.001221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-rnc-92k_270_07740,0.391831,0.153857,0.001592,0.13468,0.0,0.0,0.000381,0.0,0.018376,0.252405,0.0,0.0,0.0,0.0,0.009597,0.0,0.0,0.002319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-rnc-92k_90_07740,0.216243,0.442529,0.0,0.340715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-sxx-wp9_0_08739,0.389792,0.11813,0.146892,4.6e-05,0.0,0.197808,0.0,0.026479,0.045332,0.016304,0.0,0.001011,0.0,0.0,0.0,0.015078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-sxx-wp9_180_08739,0.383525,0.056487,0.149985,0.000217,0.0,0.202166,0.002161,0.022268,0.062346,0.000105,0.022693,0.0,0.001431,0.0,0.0,0.0,0.0,0.0,0.025325,0.0,0.0,0.000176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-sxx-wp9_270_08739,0.448743,0.042917,0.188228,0.002957,0.0,0.207332,0.0,0.001382,0.059958,0.021409,0.017717,0.000662,0.0,0.0,0.0,0.002058,0.0,0.0,0.0,0.0,0.0,0.000872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-sxx-wp9_90_08739,0.386606,0.050271,0.370405,0.000483,0.0,0.001436,0.002554,6.8e-05,0.09188,0.057217,0.00396,0.0,0.0,0.0,0.020437,0.0,0.0,0.0,0.013328,0.0,0.0,4.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-t59-yn5_0_08540,0.003962,0.636958,0.0,0.027024,0.0,0.283528,0.027705,0.0,0.000198,0.00874,0.0,0.0,0.0,0.0,0.0,0.0,0.003965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-t59-yn5_180_08540,0.001982,0.691938,0.282083,0.007312,0.0,3.9e-05,0.00022,0.000334,0.0,0.011221,0.0,0.0,0.0,0.0,0.004321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-t59-yn5_270_08540,0.058081,0.531001,0.333394,0.054373,0.0,0.003667,0.0,0.0,0.003599,0.015007,0.000879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-t59-yn5_90_08540,0.04689,0.524941,0.395247,0.0076,0.0,0.024929,0.0,0.0,0.0,0.0,0.000278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-w7j-gc5_0_06716,0.028291,0.428281,0.25844,0.0,0.0,0.284988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-w7j-gc5_180_06716,0.267444,0.294045,0.073625,0.112864,0.0,0.154785,0.0,0.025837,0.0,0.018821,0.0,0.0,0.0,2.4e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-w7j-gc5_270_06716,0.179915,0.395359,0.300808,0.03032,0.0,0.064202,0.011421,0.015415,0.0,0.0,0.000774,0.001194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-w7j-gc5_90_06716,0.16519,0.35665,0.336658,0.054895,0.0,0.040334,0.000581,0.0,0.015906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-x7t-dy9_0_06405,0.186345,0.501643,0.185544,0.0,0.0,0.061008,0.047461,0.017998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-x7t-dy9_180_06405,0.288369,0.224941,0.09728,0.001262,0.0,0.361743,0.018914,0.001982,0.001074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
